house pit No.,Cultural historical period,C14 date (BP; uncalibrated),Calendar date 
No. 2,Mumun,2430pm50,BC 475
No. 23,Mumun,2540pm50,BC 660
No. 23,Mumun,2450pm40,BC 580
No. 26,Mumun,2350pm60,BC 450
No. 26,Mumun,2360pm50,BC 450
No. 38,Mumun,2500pm60,BC 655
No. 39,Mumun,2590pm50,BC 785
No. 43,Mumun,2220pm60,BC 260
No. 48,Mumun,2520pm50,BC 595
No. 51,Mumun,2410pm40,BC 470
No. 51,Mumun,2520pm40,BC 650
No. 52,Mumun,2560pm40,BC 680
No. 52,Mumun,2460pm40,BC 580
No. 67,Mumun,2420pm40,BC 470
No. 67,Mumun,2490pm50,BC 650
No. 68,Mumun,2440pm40,BC 580
No. 70,Mumun,2410pm40,BC 470
No. 70,Mumun,2430pm50,BC 580
