Sample No.,House pit No.,Part ,C14 date (BP; uncalibrated)
EUP001,No. 15,Rim,1780¡¾20
EUP002,No. 15,Rim,1780¡¾20
EUP003,No. 15,Rim,1780¡¾20
EUP004,No. 15,Rim,1780¡¾20
EUP005,No. 15,Rim,1780¡¾20
EUP006,No. 15,Rim,1780¡¾20
EUP007,No. 15,Rim,1780¡¾20
EUP008,No. 15,Bottom,1780¡¾20
EUP009,No. 15,Bottom,1780¡¾20
EUP010,No. 15,Bottom,1780¡¾20
EUP011,No. 15,Bottom,1780¡¾20
EUP012,No. 33,Rim,
EUP013,No. 32,Body,
EUP014,No. 32,Body,
EUP015,No. 32,Body,
EUP016,No. 29,Body (beating method),1640¡¾20
EUP017,No. 15,Body,1780¡¾20
EUP018,No. 15,Rim,1780¡¾20
EUP019,No. 7.8.9 disturbed,Rim,
EUP020,No. 7.8.9 disturbed,Rim,
EUP021,No. 12,Rim (beating method),
EUP022,No. 7.8.9 disturbed,Rim (beating method),
EUP030,No. 33,Body,
EUP031,No. 32,Body,
EUP032,No. 29,Body,1640¡¾20
